# Time(s)  Normalized_Flux
16340.000000 1.046266
16350.000000 1.048255
16360.000000 1.060040
16370.000000 1.087059
16380.000000 1.064517
16390.000000 1.064653
16400.000000 1.049259
16410.000000 1.077468
16420.000000 1.055582
16430.000000 1.030020
16440.000000 1.032519
16450.000000 1.055719
16460.000000 1.023129
16470.000000 1.028043
16480.000000 0.994958
16490.000000 1.094126
16500.000000 1.005822
16510.000000 0.999221
16520.000000 0.977417
16530.000000 0.971202
16540.000000 0.981262
16550.000000 0.972308
16560.000000 0.970368
16570.000000 0.968814
16580.000000 0.988916
16590.000000 0.996167
16600.000000 0.984532
16610.000000 0.991416
16620.000000 0.955354
16630.000000 0.987388
16640.000000 0.963804
16650.000000 0.976615
16660.000000 0.977680
16670.000000 0.976379
16680.000000 0.971189
16690.000000 0.970051
16700.000000 0.983531
16710.000000 1.005023
16720.000000 0.987819
16730.000000 1.005731
16740.000000 0.994740
16750.000000 0.991636
16760.000000 0.993004
16770.000000 1.001722
16780.000000 0.989851
16790.000000 1.012684
16800.000000 1.016713
16810.000000 0.978565
16820.000000 0.992826
16830.000000 0.994387
16840.000000 0.986027
16850.000000 1.013615
16860.000000 1.000617
16870.000000 0.988818
16880.000000 0.968631
16890.000000 0.973988
16900.000000 0.967861
16910.000000 0.977505
16920.000000 0.982796
16930.000000 0.960004
16940.000000 0.957026
16950.000000 0.959822
16960.000000 0.971353
16970.000000 0.983648
16980.000000 0.955285
16990.000000 0.975273
17000.000000 0.966853
17010.000000 0.968570
17020.000000 0.951128
17030.000000 0.980723
17040.000000 0.945068
17050.000000 0.986440
17060.000000 0.993634
17070.000000 0.979226
17080.000000 0.982512
17090.000000 0.993375
17100.000000 1.008165
17110.000000 1.035159
17120.000000 1.040635
17130.000000 1.029071
17140.000000 1.047192
17150.000000 1.031593
17160.000000 1.020791
17170.000000 1.040820
17180.000000 1.020551
17190.000000 1.005035
17200.000000 1.038472
17210.000000 1.014346
17220.000000 1.012226
17230.000000 0.997394
17240.000000 0.985647
17250.000000 0.994874
